bin_deg,gauquelin_extracted_norm,Sun_residual_sigma30_norm,Moon_residual_sigma30_norm,Mercury_residual_sigma30_norm,Venus_residual_sigma30_norm,Mars_residual_sigma30_norm,Jupiter_residual_sigma30_norm,Saturn_residual_sigma30_norm,Uranus_residual_sigma30_norm,Neptune_residual_sigma30_norm,Pluto_residual_sigma30_norm,Rahu_residual_sigma30_norm
39,-3.434248e-01,+5.518079e-01,+5.416287e-01,+5.072061e-01,+7.379985e-01,+2.176604e-01,-6.751182e-01,-9.179835e-02,-3.835442e-01,+2.058263e-02,+6.322823e-01,+7.441671e-01
40,-3.434248e-01,+5.463288e-01,+5.335868e-01,+5.050787e-01,+7.314182e-01,+1.967441e-01,-6.736457e-01,-7.316049e-02,-3.790446e-01,+4.033158e-02,+6.437925e-01,+7.507212e-01
41,-3.245033e-01,+5.401901e-01,+5.252957e-01,+5.024605e-01,+7.242946e-01,+1.759391e-01,-6.700114e-01,-5.483228e-02,-3.732416e-01,+6.076130e-02,+6.545721e-01,+7.560189e-01
42,-3.245033e-01,+5.334027e-01,+5.167682e-01,+4.993653e-01,+7.166575e-01,+1.553197e-01,-6.642442e-01,-3.616806e-02,-3.662133e-01,+8.263053e-02,+6.646549e-01,+7.600788e-01
43,-3.245033e-01,+5.259702e-01,+5.079990e-01,+4.957442e-01,+7.085127e-01,+1.348835e-01,-6.564266e-01,-1.721268e-02,-3.576579e-01,+1.050703e-01,+6.739086e-01,+7.628359e-01
44,-3.245033e-01,+5.179070e-01,+4.990126e-01,+4.916532e-01,+6.998753e-01,+1.146738e-01,-6.464430e-01,+1.684427e-03,-3.477561e-01,+1.281833e-01,+6.822116e-01,+7.645017e-01
45,-3.245033e-01,+5.092124e-01,+4.898256e-01,+4.870570e-01,+6.907702e-01,+9.473191e-02,-6.344728e-01,+1.994442e-02,-3.364863e-01,+1.524349e-01,+6.893717e-01,+7.650120e-01
46,-3.055818e-01,+4.999064e-01,+4.804518e-01,+4.819799e-01,+6.812170e-01,+7.509850e-02,-6.204282e-01,+3.867696e-02,-3.238417e-01,+1.769430e-01,+6.963583e-01,+7.645451e-01
47,-3.055818e-01,+4.899860e-01,+4.708693e-01,+4.764038e-01,+6.712100e-01,+5.582435e-02,-6.045371e-01,+5.681779e-02,-3.098360e-01,+2.019018e-01,+7.021850e-01,+7.629517e-01
48,-3.055818e-01,+4.794768e-01,+4.611019e-01,+4.703252e-01,+6.607707e-01,+3.690274e-02,-5.868410e-01,+7.512906e-02,-2.949501e-01,+2.282445e-01,+7.075759e-01,+7.602258e-01
49,-3.055818e-01,+4.683590e-01,+4.511676e-01,+4.637146e-01,+6.499277e-01,+1.837513e-02,-5.674874e-01,+9.292419e-02,-2.791973e-01,+2.547405e-01,+7.119003e-01,+7.563731e-01
50,-2.866604e-01,+4.566994e-01,+4.410600e-01,+4.566189e-01,+6.386944e-01,+2.868505e-04,-5.466289e-01,+1.104903e-01,-2.622471e-01,+2.812147e-01,+7.156116e-01,+7.515785e-01
51,-2.866604e-01,+4.445344e-01,+4.308205e-01,+4.490416e-01,+6.271098e-01,-1.734335e-02,-5.239943e-01,+1.285200e-01,-2.442430e-01,+3.092961e-01,+7.188714e-01,+7.460361e-01
52,-2.866604e-01,+4.318435e-01,+4.204338e-01,+4.409623e-01,+6.151756e-01,-3.451557e-02,-4.999783e-01,+1.455755e-01,-2.252934e-01,+3.369393e-01,+7.209991e-01,+7.394368e-01
53,-2.677389e-01,+4.186512e-01,+4.099151e-01,+4.324311e-01,+6.029071e-01,-5.114851e-02,-4.746300e-01,+1.621333e-01,-2.053371e-01,+3.645508e-01,+7.226513e-01,+7.320735e-01
54,-2.677389e-01,+4.050065e-01,+3.992925e-01,+4.234334e-01,+5.903421e-01,-6.724555e-02,-4.478255e-01,+1.781467e-01,-1.844884e-01,+3.930594e-01,+7.234662e-01,+7.237833e-01
55,-2.488174e-01,+3.909029e-01,+3.885484e-01,+4.139622e-01,+5.775013e-01,-8.281529e-02,-4.198744e-01,+1.935741e-01,-1.630373e-01,+4.211737e-01,+7.232670e-01,+7.145638e-01
56,-2.488174e-01,+3.763815e-01,+3.777273e-01,+4.040527e-01,+5.644389e-01,-9.780690e-02,-3.907087e-01,+2.085163e-01,-1.406894e-01,+4.487477e-01,+7.226348e-01,+7.047694e-01
57,-2.488174e-01,+3.614939e-01,+3.668293e-01,+3.937129e-01,+5.511365e-01,-1.121965e-01,-3.603994e-01,+2.232226e-01,-1.178607e-01,+4.769196e-01,+7.215224e-01,+6.942929e-01
58,-2.488174e-01,+3.462523e-01,+3.558694e-01,+3.829496e-01,+5.376479e-01,-1.259579e-01,-3.292916e-01,+2.373006e-01,-9.424196e-02,+5.052980e-01,+7.197521e-01,+6.830838e-01
59,-2.488174e-01,+3.306827e-01,+3.448351e-01,+3.717581e-01,+5.239679e-01,-1.391241e-01,-2.973667e-01,+2.505120e-01,-6.998133e-02,+5.336180e-01,+7.176089e-01,+6.712390e-01
60,-2.488174e-01,+3.148173e-01,+3.337669e-01,+3.601651e-01,+5.101368e-01,-1.516789e-01,-2.646837e-01,+2.632770e-01,-4.539517e-02,+5.611270e-01,+7.142974e-01,+6.588317e-01
61,-2.488174e-01,+2.986490e-01,+3.226518e-01,+3.481739e-01,+4.961634e-01,-1.636247e-01,-2.313980e-01,+2.749083e-01,-2.080861e-02,+5.881256e-01,+7.105809e-01,+6.458553e-01
62,-2.488174e-01,+2.822812e-01,+3.115142e-01,+3.358295e-01,+4.821175e-01,-1.749117e-01,-1.973146e-01,+2.863973e-01,+4.302195e-03,+6.156471e-01,+7.070283e-01,+6.325034e-01
63,-2.488174e-01,+2.656984e-01,+3.003663e-01,+3.231121e-01,+4.679870e-01,-1.855813e-01,-1.628267e-01,+2.970732e-01,+3.014226e-02,+6.422562e-01,+7.027897e-01,+6.187506e-01
64,-2.488174e-01,+2.489494e-01,+2.892031e-01,+3.100400e-01,+4.538032e-01,-1.956158e-01,-1.280776e-01,+3.069462e-01,+5.586328e-02,+6.679787e-01,+6.972865e-01,+6.044861e-01
65,-2.488174e-01,+2.320312e-01,+2.780321e-01,+2.966489e-01,+4.395719e-01,-2.050376e-01,-9.305000e-02,+3.157365e-01,+8.194333e-02,+6.939540e-01,+6.917339e-01,+5.898954e-01
66,-2.488174e-01,+2.149656e-01,+2.668712e-01,+2.829019e-01,+4.253316e-01,-2.138697e-01,-5.800766e-02,+3.232376e-01,+1.076831e-01,+7.186182e-01,+6.857577e-01,+5.747556e-01
67,-2.488174e-01,+1.978119e-01,+2.557453e-01,+2.688670e-01,+4.110975e-01,-2.220858e-01,-2.290896e-02,+3.302729e-01,+1.336284e-01,+7.426574e-01,+6.794486e-01,+5.593631e-01
68,-2.488174e-01,+1.806024e-01,+2.446258e-01,+2.545356e-01,+3.969007e-01,-2.296989e-01,+1.211065e-02,+3.365704e-01,+1.593238e-01,+7.656830e-01,+6.723397e-01,+5.436308e-01
69,-2.298959e-01,+1.634006e-01,+2.335611e-01,+2.399729e-01,+3.827604e-01,-2.367049e-01,+4.704418e-02,+3.422764e-01,+1.851467e-01,+7.885783e-01,+6.654308e-01,+5.277311e-01
70,-2.298959e-01,+1.461963e-01,+2.225309e-01,+2.251506e-01,+3.686836e-01,-2.431770e-01,+8.166508e-02,+3.463797e-01,+2.106912e-01,+8.100175e-01,+6.574952e-01,+5.116747e-01
71,-2.298959e-01,+1.289742e-01,+2.115387e-01,+2.100981e-01,+3.547147e-01,-2.490897e-01,+1.160002e-01,+3.494936e-01,+2.361928e-01,+8.304132e-01,+6.493347e-01,+4.954288e-01
72,-2.298959e-01,+1.118179e-01,+2.006058e-01,+1.948161e-01,+3.408720e-01,-2.544431e-01,+1.498959e-01,+3.516807e-01,+2.613107e-01,+8.497325e-01,+6.409658e-01,+4.789982e-01
73,-2.298959e-01,+9.470814e-02,+1.897224e-01,+1.793534e-01,+3.271481e-01,-2.593435e-01,+1.832428e-01,+3.530866e-01,+2.861801e-01,+8.685050e-01,+6.322471e-01,+4.624970e-01
74,-2.298959e-01,+7.769836e-02,+1.788968e-01,+1.636902e-01,+3.135723e-01,-2.637458e-01,+2.159513e-01,+3.535864e-01,+3.104135e-01,+8.856477e-01,+6.231749e-01,+4.458712e-01
75,-2.109745e-01,+6.081212e-02,+1.681426e-01,+1.478784e-01,+3.001756e-01,-2.676690e-01,+2.482527e-01,+3.535146e-01,+3.344610e-01,+9.024394e-01,+6.143559e-01,+4.293696e-01
76,-2.109745e-01,+4.402063e-02,+1.574329e-01,+1.318886e-01,+2.869336e-01,-2.711692e-01,+2.796863e-01,+3.522177e-01,+3.578100e-01,+9.174103e-01,+6.049599e-01,+4.127451e-01
77,-2.109745e-01,+2.739294e-02,+1.467855e-01,+1.157927e-01,+2.738833e-01,-2.743027e-01,+3.101595e-01,+3.498658e-01,+3.807031e-01,+9.317898e-01,+5.953859e-01,+3.961718e-01
78,-2.109745e-01,+1.091594e-02,+1.361911e-01,+9.957940e-02,+2.610469e-01,-2.770839e-01,+3.397342e-01,+3.464230e-01,+4.028884e-01,+9.450509e-01,+5.855501e-01,+3.797899e-01
79,-1.920530e-01,-5.412252e-03,+1.256635e-01,+8.324740e-02,+2.484084e-01,-2.795241e-01,+3.681615e-01,+3.419449e-01,+4.242481e-01,+9.560714e-01,+5.752319e-01,+3.632577e-01
80,-1.920530e-01,-2.150651e-02,+1.152156e-01,+6.683592e-02,+2.360173e-01,-2.816011e-01,+3.956944e-01,+3.369391e-01,+4.451892e-01,+9.664441e-01,+5.654144e-01,+3.470076e-01
81,-1.731315e-01,-3.741739e-02,+1.048185e-01,+5.035698e-02,+2.238498e-01,-2.834563e-01,+4.220944e-01,+3.307973e-01,+4.653223e-01,+9.749446e-01,+5.552258e-01,+3.308990e-01
82,-1.731315e-01,-5.310653e-02,+9.446370e-02,+3.382339e-02,+2.119216e-01,-2.850591e-01,+4.473542e-01,+3.235809e-01,+4.845906e-01,+9.827407e-01,+5.450805e-01,+3.149234e-01
83,-1.731315e-01,-6.860317e-02,+8.416555e-02,+1.725846e-02,+2.002576e-01,-2.864463e-01,+4.712627e-01,+3.152871e-01,+5.027382e-01,+9.885626e-01,+5.345065e-01,+2.990944e-01
84,-1.731315e-01,-8.386440e-02,+7.391049e-02,+6.490364e-04,+1.888262e-01,-2.876781e-01,+4.938063e-01,+3.064468e-01,+5.200640e-01,+9.927315e-01,+5.240468e-01,+2.834246e-01
85,-1.542100e-01,-9.891322e-02,+6.370646e-02,-1.596878e-02,+1.776708e-01,-2.887903e-01,+5.150880e-01,+2.967299e-01,+5.366614e-01,+9.963877e-01,+5.139573e-01,+2.678496e-01
